요양기관명,시도코드명,시군구코드명,좌표(X),좌표(Y),주소,좌표(X)_round,좌표(Y)_round
21세기소아청소년과의원,강원특별자치도,원주시,127.9282649,37.3469332,,127.9283,37.3469
21세기연합소아과의원,대구광역시,대구수성구,128.6401431,35.8733292,,128.6401,35.8733
365별소아청소년과의원,인천광역시,인천서구,126.6726009,37.5184643,,126.6726,37.5185
365삼성i소아청소년과의원,경기도,파주시,126.7339335,37.7276519,,126.7339,37.7277
365서울소아청소년과의원,경기도,고양덕양구,126.8311658,37.6329132,,126.8312,37.6329
365소아청소년과의원,경기도,여주시,127.6367077,37.2948991,,127.6367,37.2949
365소아청소년과의원,경기도,김포시,126.6683697,37.6439449,,126.6684,37.6439
365소아청소년과의원,울산광역시,울산동구,129.4281043,35.4994135,,129.4281,35.4994
365아이랑소아청소년과의원,경기도,수원영통구,127.0811241,37.2673389,,127.0811,37.2673
365연합소아청소년과의원,경상남도,김해시,128.839145,35.2340214,,128.8391,35.234
365제이에스JS소아청소년과의원,경기도,시흥시,126.8090412,37.3688669,,126.809,37.3689
365키즈소아청소년과의원,경기도,의왕시,126.9775824,37.3900559,,126.9776,37.3901
99서울소아청소년과의원,부산광역시,부산동래구,129.0783665,35.2171501,,129.0784,35.2172
ABC김광우소아청소년과의원,경상북도,포항북구,129.3760844,36.0597091,,129.3761,36.0597
가나다소아청소년과의원,충청남도,당진시,126.6527822,36.8880145,,126.6528,36.888
가야소아청소년과의원,서울특별시,서초구,126.9897944,37.4931756,,126.9898,37.4932
가오아이소아청소년과의원,대전광역시,대전동구,127.456147,36.3061987,,127.4561,36.3062
가좌연세소아과의원,인천광역시,인천서구,126.6828315,37.4950219,,126.6828,37.495
가톨릭소아청소년과의원,대구광역시,대구달성군,128.496121,35.7984484,,128.4961,35.7984
갈매아이웰소아청소년과의원,경기도,구리시,127.1217995,37.6366379,,127.1218,37.6366
감일키즈소아청소년과의원,경기도,하남시,127.1539895,37.5088806,,127.154,37.5089
강경훈소아과의원,서울특별시,관악구,126.9334537,37.4716121,,126.9335,37.4716
강남소아청소년과의원,경기도,평택시,126.9216156,36.9847915,,126.9216,36.9848
강남연세소아과의원,서울특별시,강남구,127.0484325,37.4992883,,127.0484,37.4993
강남조앤조내과소아과의원,서울특별시,강남구,127.0270812,37.5001472,,127.0271,37.5001
강동섭소아청소년과의원,부산광역시,부산남구,129.0721428,35.1371189,,129.0721,35.1371
강미정소아청소년과의원,제주특별자치도,제주시,126.5020578,33.4879309,,126.5021,33.4879
강석경소아과의원,서울특별시,은평구,126.9315014,37.6118226,,126.9315,37.6118
강석진웰키움소아청소년과의원,대구광역시,대구달서구,128.5295301,35.8154492,,128.5295,35.8154
강소아과의원,서울특별시,도봉구,127.0394136,37.6402996,,127.0394,37.6403
강소아청소년과의원,서울특별시,성동구,127.0419511,37.5658515,,127.042,37.5659
강소아청소년과의원,경기도,시흥시,126.7272129,37.3768086,,126.7272,37.3768
강소아청소년과의원,경기도,화성시,127.0601939,37.2093431,,127.0602,37.2093
강소아청소년과의원,인천광역시,인천계양구,126.7323521,37.5416278,,126.7324,37.5416
강소아청소년과의원,경상남도,양산시,129.0257594,35.3175131,,129.0258,35.3175
