지역,병원명,주소,위도,경도
서울,홍진희소아과,Suwon,37.2465429,127.0576296
서울,연세곰돌이소아청소년과,"Seocho District, Donggwang-ro, 77 넥센강남타워 파맥스프라자 3층",37.493319,126.9904622
서울,안소아과의원,"1062-2 Jung 3(sam)-dong, Wonmi-gu, Bucheon-si",37.5040111,126.7762965
서울,하늘소아과의원,"970-5 영통2동 Yeongtong-gu, Suwon-si",37.2485776,127.0666255
서울,강소아과의원,"773-1 Majang-dong, Seongdong-gu",37.565786,127.0416578
서울,최재민소아과,"2615 Nambusunhwan-ro, Gangnam District",37.4851386,127.0358583
서울,송영명소아과의원,"5 Seolleung-ro 10-gil, Gangnam District",37.4833196,127.0606703
서울,강남연세소아과의원,"755 Yeoksam-dong, Gangnam District",37.4991554,127.048409
서울,김윤옥소아과의원,"66-1 Juyeop-dong, Ilsanseo-gu, Goyang-si",37.6702127,126.7619322
서울,노소아과의원,"230 Seochojungang-ro, Seocho District",37.5022526,127.0119876
서울,해맑은소아과,"47-19 Guui-dong, Gwangjin District",37.5512887,127.0920977
서울,이박소아과,"55-19 Tanbeol-dong, Gwangju-si",37.4146694,127.2508917
서울,박정금소아과,"1002 산성동 Sujeong-gu, Seongnam-si",37.4550515,127.1512614
서울,서울김정아소아과,"36-14 Bongcheon-dong, Gwanak-gu",37.4849055,126.9563073
서울,서소아과의원,"635-28 Jayang-dong, Gwangjin District",37.5320131,127.0799883
서울,백설소아과의원,"Jung District, Dasan-ro, 32 남산타운아파트 5상가 2층 225호",37.5471096,127.0070141
서울,백소아과의원,"12-29 Daejo-dong, Eunpyeong District",37.61061189999999,126.9286953
서울,노상수소아과,206-1 간석2동 Namdong-gu,37.4617373,126.7086654
서울,애플소아과의원,"1530 Dongil-ro, Nowon-gu",37.66502699999999,127.0580074
서울,소화의원,"383 Cheongpa-ro, Yongsan District",37.5537796,126.9686583
부산,이경민소아과의원,"Ulsan, South Korea",35.5385163,129.3031658
부산,이영진소아과의원,"10-4 Jurye-dong, Sasang-gu",35.1538898,129.013287
부산,신은주소아과의원,"246 Geojecheon-ro, Yeonje-gu",35.1919662,129.0838112
부산,이창무소아과의원,"1407-2 Jwa-dong, Haeundae-gu",35.1781399,129.1752712
부산,호돌이 소아청소년과 의원,"40 Jangnimbeonyeong-ro, Jangnim-dong, Saha-gu",35.0804374,128.9697538
부산,길메리의원,"43-4 Bosu-dong 2(i)-ga, Jung-gu",35.1065622,129.0228985
부산,미래연합 소아청소년과의원,"460 Gaya-daero, Busanjin District",35.1529739,129.0223999
부산,김옥영 소아청소년과,"Geumjeong-gu, 부곡제3동 223-4 4층",35.23933040000001,129.0906885
부산,삼성소아과의원,경남 창원시 성산구 반림동 21,35.2359571,128.6718722
부산,김은정소아과의원,"Ulsan, South Korea",35.5537377,129.355105
부산,강지연소아청소년과의원,"285-8 Jangnim-dong, Saha-gu",35.0772315,128.9776257
부산,전윤숙소아청소년과의원,"54 Daeyeong-ro, Seo-gu",35.1096606,129.0173496
부산,이&훈소아청소년과의원,"Gimhae-si, Samgyejungang-ro, 22 201 호",35.2601443,128.8675486
부산,문소아청소년과의원,35-1 사직제2동 Dongnae-gu,35.1973021,129.0573372
부산,울산연합 소아청소년과의원,"Dong-gu, Bangeojinsunhwando-ro, 652 D동 3층",35.4997996,129.4293738
부산,김광순소아과의원,207-63 전포제1동 Busanjin District,35.1575014,129.0656986
부산,백상호소아과의원,"462-32 Bukbu-dong, Yangsan-si",35.3438955,129.0348075
부산,키우리소아과의원,"356-5 Angol-dong, Jinhae-gu, Changwon-si",35.1010311,128.8060577
부산,이상봉소아과,"205-23 Pyeongsan-dong, Yangsan-si",35.3751995,129.151879
대구,백인기소아과의원,"196-1 Samdeok-dong 2(i)-ga, Jung-gu",35.8637146,128.6021392
대구,최관수소아과의원,"Daegu, South Korea",35.88590689999999,128.6332746
대구,정소아과청소년과의원,"Daegu, South Korea",35.8687318,128.5926029
대구,김교일소아청소년과,"Daegu, South Korea",35.8161519,128.5196315
대구,이상권소아과의원,"420-2 Daegok-dong, Gimcheon-si",36.1253897,128.1011202
대구,건강한내과와튼튼한소아과의원,"116-2 Goseong-dong 2(i)-ga, Buk-gu",35.8808232,128.5812518
대구,황영희소아과의원,"234-10 Waegwan-ri, Waegwan-eup, Chilgok-gun",35.9931398,128.3989326
대구,권소아과의원,Gumi,36.1399264,128.3233246
대구,21세기연합소아과의원,"122 Hwarang-ro, Suseong District",35.87349409999999,128.6400784
대구,아이맘소아청소년과의원,"138-1 Jeongpyeong-dong, Gyeongsan-si",35.8344704,128.7294336
대구,송영호소아과,"394-9 Sineum-dong, Gimcheon-si",36.1318403,128.1183443
대구,정소아과의원,"909-4 Dongcheon-dong, Buk-gu",35.9420933,128.5609187
대구,튼튼소아과의원,"934-5 Dongcheon-dong, Buk-gu",35.936594,128.5593357
대구,꿈나무소아과,"419 Hakjeong-ro, Buk-gu",35.9421021,128.5630315
대구,예담소아청소년과의원,"Dalseo District, Wolseong-dong, 1825번지 3층",35.8354629,128.5264584
대구,임연수소아과의원,"142 Guam-ro, Buk-gu",35.9315378,128.5562355
대구,행복한소아청소년과의원,"Dalseong-gun, Dasa-eup, 세천리",35.8733142,128.4773142
대구,믿음터의원,"678-6 Gupo-dong, Gumi-si",36.12887389999999,128.4161494
대구,이은영와세다의원,"1001-5 Inui-dong, Gumi-si",36.0958194,128.4312819
대구,최도희소아과의원,"803-179 Buk-ri, Nongong-eup, Dalseong-gun",35.7292277,128.4439912
인천,송영명소아과의원,"5 Seolleung-ro 10-gil, Gangnam District",37.4833196,127.0606703
인천,강남연세소아과의원,"755 Yeoksam-dong, Gangnam District",37.4991554,127.048409
인천,홍진희소아과,Suwon,37.2465429,127.0576296
인천,김윤옥소아과의원,"66-1 Juyeop-dong, Ilsanseo-gu, Goyang-si",37.6702127,126.7619322
인천,하늘소아과의원,"970-5 영통2동 Yeongtong-gu, Suwon-si",37.2485776,127.0666255
인천,백소아과의원,"12-29 Daejo-dong, Eunpyeong District",37.61061189999999,126.9286953
인천,안소아과의원,"1062-2 Jung 3(sam)-dong, Wonmi-gu, Bucheon-si",37.5040111,126.7762965
인천,최재민소아과,"2615 Nambusunhwan-ro, Gangnam District",37.4851386,127.0358583
인천,연세곰돌이소아청소년과,"Seocho District, Donggwang-ro, 77 넥센강남타워 파맥스프라자 3층",37.493319,126.9904622
인천,강소아과의원,"773-1 Majang-dong, Seongdong-gu",37.565786,127.0416578
인천,노소아과의원,"230 Seochojungang-ro, Seocho District",37.5022526,127.0119876
인천,현대소아과의원,"336 Jangan-dong, Dongdaemun District",37.569675,127.0745989
인천,서울김정아소아과,"36-14 Bongcheon-dong, Gwanak-gu",37.4849055,126.9563073
인천,서소아과의원,"635-28 Jayang-dong, Gwangjin District",37.5320131,127.0799883
인천,권재현소아과,"347 Haengdang-dong, Seongdong-gu",37.5572868,127.0284371
인천,해맑은소아과,"47-19 Guui-dong, Gwangjin District",37.5512887,127.0920977
인천,동산연합소아과,"1076 선부3동 Danwon-gu, Ansan-si",37.3362266,126.8112422
인천,최소아과의원,"Janggok-dong, Siheung-si",37.3783166,126.7851213
인천,김은아소아과의원,330-61 홍제제1동 Seodaemun-gu,37.5917439,126.9415461
인천,이웃사랑소아과,166-1 신월3동 Yangcheon District,37.5348416,126.8281795
광주,중앙소아과의원,"Gwangju, South Korea",35.1733783,126.9251494
광주,모아소아과의원,"633-8 Baegun-dong, Nam-gu",35.1339104,126.9033469
광주,사랑소아과의원,"43-8 Yeonje-dong, Buk-gu",35.1973468,126.8719316
광주,미래지앤디소아과의원,683-2 월곡2동 Gwangsan-gu,35.1757372,126.811549
광주,최사영소아과의원,"Gwangju, South Korea",35.1853213,126.9227327
광주,동천희망소아과,"Gwangju, South Korea",35.1704331,126.8601001
광주,화정키즈소아청소년과의원,"631-3 Hwajeong-dong, Seo-gu",35.1458701,126.8815508
광주,첨단소아청소년과의원,"756-5 Wolgye-dong, Gwangsan-gu",35.2202601,126.8364067
광주,큰별소아과청소년과의원,"1484 Suwan-dong, Gwangsan-gu",35.1877915,126.8233254
광주,박소아과의원,"1274-8 Yongbong-dong, Buk-gu",35.179433,126.9155946
광주,봉선드림소아청소년과,"Gwangju, South Korea",35.1239556,126.9078797
광주,이소아과의원,"598-1 Suseong-dong, Jeongeup-si",35.5684966,126.8532852
광주,예사랑소아과,"294-17 Jinwol-dong, Nam-gu",35.121717,126.899042
광주,현대소아과,"919-6 Suseong-dong, Jeongeup-si",35.5818839,126.8549791
광주,위드유소아청소년과의원,"1059 Imbangul-daero, Buk-gu",35.2120491,126.8732019
광주,목포한사랑병원,"335 Baengnyeon-daero, Mokpo-si",34.8057779,126.4236824
광주,박영경소아과의원,"728-14 Hwajeong-dong, Seo-gu",35.1473529,126.8845984
광주,문대근소아과의원,"1269-4 Yeonsan-dong, Mokpo-si",34.8108291,126.382043
광주,우리아이소아청소년과,"Gwangju, South Korea",35.129917,126.9293502
광주,예쁜소아과의원,"Gwangju, South Korea",35.1624354,126.9372874
대전,엔젤소아청소년과,26 신관동 Gongju-si,36.4740594,127.1411783
대전,Tori Children and Adolescent Clinic,"Seo-gu, Cheongsa-ro, 130 프라자 401호",36.35947,127.3783153
대전,꿈꾸는 김선생 의원,"322 Nambu-daero, Dongnam-gu, Cheonan-si",36.7813782,127.1527046
